,Unnamed: 0,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_11,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,srcc,pearson,cosine,residual_norm_L2,residual_norm_Linf,abs_srcc,abs_pearson,abs_cosine,abs_residual_norm_L2,abs_residual_norm_Linf,weighted_jaccard,binary_jaccard,spec_L2,spec_Linf,degree_dist_L1,ged_approx,inflow_from_6,model_id,AC,ANE,EMD,acc,f1,l2
0,0,time1_region0,7.567670467775864,0.003994392696768,4.010143524710659,4.010143524710659,2.6012706257461105e-05,1.422542929649353,0.4830574654366423,73.52654575372807,73.5264595308077,75.79330127651055,176.58275000715977,345.9806721100944,328.6454887362932,0.0004593470939013,0.0004524847902516,0.0730936060089778,0.3934008047248181,9.473682439420372e-05,0.1924564242362976,1.789613962173462,22,2.270117793846892e-06,-1.5366832698935791e-06,4.555924556972317e-07,1230.0576775800948,6.587223778149066,3.0089885124487195,0.4428960299031386,46.25,0.0696254009297326,201253447.1976991,1.0387362355352393e-05,1.1022243918858168,2.991384166997989,0.0143707482993197,0.0004638128868032,0.0084990125082291,0.5326112851006978,0.0003612323797046,-0.0002445246471269,0.0115359424378243,1264751.0507423377,0.0016528885135645,0.0143707482993197,0.0738042020406961,0.4368420541286468,4.783347495873613e-09,4.010143756866455,3.0191214084625244,0.6214908957481384,1.0,0.0,0.2188675196835109,0.2749711445479151,0.6287636876024337,0.0237259141588258,0.0725392536908252,0.9999999991182484,0.0,2.281062568183275e-06,0.0004639272565279,0.0633607749977898,0.0707183294814665,0.0,0.4451420060767661,0.0,396249.5603262362,2.9832307264274656,0.0,0.5291194326914843,0.999999999999,0.0,0.0020113308218302,0.4090686521084904,0.0633607750535949,0.0707183294814665,0.0,0.4451420060767661,0.0,449.3890462518583,2.9832307264274656,0.0,0.5291194326933634,16,24,0.2,1.0,0.2127314126234578,521.1830379950221,0.0004078429395836,0.5511170361134217,33,78,0.1477272727272727,1.0,0.3173582326315131,325.3949067451522,0.0003260922950574,1.2760906211174146,0.0863961713845819,0.0451484106023625,0.1567655610754905,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001355548010906,0.0011341060744598,0.0001916218752739,9.473682439420372e-05,127,0.564125449910205,0.8847864445746753,0.8848463033970514,0.0001054435873913,5.037943628849462e-05,0.7023651474743116,0.8940411718520016,0.8959289564475746,0.0001009741607616,5.037943628849462e-05,0.5956271194090523,0.4891304347826087,0.362322305194084,0.2346968142926754,1.2935059933634436,,,0,0.5578420758247375,-1.767037868499756,2.1540818214416504,0.5874787672894929,0.4716724753379822,322.474654710382
1,1,time1_region1,7.587608538733855,0.0045147398486733,3.439796683859747,3.439796683859747,1.445425391466415e-05,1.4003177881240845,0.8520318422693808,89.72852923754866,89.72827479302555,92.26836959730548,209.3136273121488,427.898916206228,1065.5474935227207,0.0005428559202762,0.0005313742107126,0.0874355553764678,0.3847468671033353,8.161392179317772e-05,0.1885443776845932,1.8039188385009768,22,2.2757281925389297e-06,-1.6872838804799531e-06,5.048878838856727e-07,1466.447795692101,6.058666452144164,3.098027823647894,0.4253468656433381,3.555555555555556,0.0670854534746624,243320141.24645364,1.0232590651750848e-05,1.5551392527713526,3.2087972281625725,0.0161616161616161,0.0005468311777854,0.0087897756911841,0.5131227088418439,0.000366541779572,-0.0002717635713952,0.0130978839876402,1510688.649646201,0.0016481194872313,0.0161616161616161,0.0880757524513109,0.4186941981315613,5.591834106866145e-09,3.4397969245910645,3.068023681640625,0.6082678437232971,1.0,0.0,0.2238261821714573,0.2696984950802416,0.6156847340512087,0.0162842218388846,0.0983325490296649,0.9999999991715676,0.0,2.2757281925389182e-06,0.0005468311777854,0.0602369981572776,0.0670854534746624,0.0,0.4253468656433381,0.0,415293.7895480977,3.2087972281625725,0.0,0.513122708840347,0.999999999999,0.0,0.001885286787069,0.4530126214616582,0.0602369982071196,0.0670854534746624,0.0,0.4253468656433381,0.0,501.30080555554633,3.208797228162572,0.0,0.5131227088418422,15,25,0.238095238095238,1.0,0.4799944839257268,464.387873619658,0.0004884163663025,0.3772638440611114,40,100,0.1282051282051282,1.0,0.1705996408428819,437.0440940998431,0.0002334248479571,1.5167378757055112,0.0529991401166886,0.0272209125371752,0.1404829562943846,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001194790165754,0.0012070991797372,0.0001798497687559,8.161392179317772e-05,142,0.5686311310799732,0.9459126639786846,0.9459674214419737,6.42188491387507e-05,1.7941396436071955e-05,0.7009071982004924,0.959809871761865,0.9598220302621452,5.574078280376038e-05,1.3568982467404568e-05,0.6666468172471552,0.5372340425531915,0.4097355553221229,0.240250133281535,1.2714685056491293,,,0,0.622281551361084,-1.5308566093444824,2.247918605804444,0.6590791515778582,0.5091391205787659,322.474654710382
2,2,time1_region2,7.467368151603672,0.0053361319005489,4.778605558132423,4.778605558132423,2.1595113139483143e-05,1.5123634338378906,0.2147845861366094,44.99536323126353,44.99534062222205,46.99365304918862,121.85442129642004,263.3128008879579,-991.73181228444,0.0004425304706998,0.0004275676129097,0.0355436857076883,0.3769049679806142,0.0002250744728371,0.225066527724266,1.732862949371338,22,3.0517216763219617e-06,-3.4570691060728125e-06,1.140530626487287e-06,1284.982629790389,6.20683858575765,3.134221985345609,0.4473775573849026,3.1875,0.0316628448381147,112580969.10635796,2.320235216828616e-05,1.0745057417338917,2.792423181728535,0.0159903961584633,0.0008587335658021,0.0088694852941176,0.472016846657407,0.0002451117463952,-0.0002776689159463,0.0073577556165499,1401670.0050674349,0.0018635936307163,0.0159903961584633,0.0689727660932981,0.6195849180221558,6.238044303330525e-09,4.778605937957764,2.935929298400879,0.6364468932151794,1.0,0.0,0.1623246056900363,0.2474934483879806,0.6619352856284647,0.0298328584424359,0.0607384075411187,0.9999999994745902,0.0,3.115686056102745e-06,0.0009020070144603,0.0362220367303671,0.0326542546199759,0.0,0.4373514640102966,0.0,207642.47730250147,2.748470236463202,0.0,0.4738856999704727,0.999999999999,0.0,0.0016370120052785,0.4739233301843285,0.0362220367493623,0.0326542546199759,0.0,0.4373514640102967,0.0,395.2009937006943,2.7484702364632025,0.0,0.4738856999714434,29,71,0.1748768472906404,1.0,0.4043271319605871,320.870236946242,0.0004862714730979,1.2223224871186578,22,44,0.1904761904761904,1.0,0.1767070905152773,332.7714807452339,0.0005488661699715,0.6396146322924456,0.0690314402944483,0.0357496448854531,0.1079266120711348,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002484574506524,0.0019032761920243,0.0003205096290912,0.0002250744728371,137,0.2622028854759614,0.5709704975251548,0.5710755644175776,0.0003304882335732,0.0001808775778044,0.6209044380127735,0.6595616183512678,0.6667246480501529,0.000308326944974,0.0001808775778044,0.2598324331385944,0.2136752136752136,0.2601388487520077,0.1768192840056378,1.316204719046263,,,0,0.5629398822784424,-1.7441200017929075,1.951669692993164,0.4844333748443337,0.3933849334716797,322.474654710382
3,3,time1_region3,7.537695205890289,0.004157034214586,3.358494774399703,3.358494774399703,1.0484327503945678e-05,1.2414535284042358,0.7740109274327064,128.66536303183065,128.66413073133094,131.15441356191218,341.6824978688965,872.5842645394871,786.3611369170047,0.0005225714497552,0.0005169354083758,0.1099553336513721,0.3970241422361913,8.629672811366618e-05,0.1622712165117263,1.8020094633102417,22,1.918267930465668e-06,-1.1694988100846469e-06,5.18428724766464e-07,1564.5461102574773,5.43817871023015,3.037379105434061,0.4312046653332715,14.888888888888893,0.0635388877308072,296504819.83061194,9.904047692100893e-06,1.4394595394599836,3.0794904106290364,0.0134559884559884,0.0005363584228848,0.0074960512460512,0.5563467811993041,0.0004036274749337,-0.0002460771351593,0.0229526037619803,1409159.9874152087,0.0020839350220373,0.0134559884559884,0.1128564945126281,0.4875441193580627,5.414481307752794e-09,3.358494758605957,3.049288511276245,0.5686884522438049,1.0,0.0,0.2162071039311615,0.2964677675920255,0.6124246743821962,0.0131347771165562,0.077972780909222,0.9999999991704648,0.0,1.9282407084581693e-06,0.0005364840002581,0.0494703150562516,0.0643283609921637,0.0,0.4310226313319827,0.0,456902.29734550376,3.071681391390758,0.0,0.5546250684208206,0.999999999999,0.0,0.0015995433632944,0.4450323128032508,0.0494703150972395,0.0643283609921637,0.0,0.4310226313319827,0.0,550.7932012015619,3.071681391390757,0.0,0.5546250684223729,15,20,0.1904761904761904,0.8666666666666667,3.010770640793207e-16,421.4930464559285,0.0004764554087024,0.4024472446011434,41,110,0.1341463414634146,1.0,0.181954981970542,468.34337114300325,0.0001993788570524,1.4926396600793166,0.05245654765977,0.0269347251773697,0.1303439105708341,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001245747698703,0.0012054945109412,0.0001859479962149,8.629672811366618e-05,151,0.664638114318169,0.9457707473687198,0.9458189627053368,6.44495739537306e-05,3.619394192355685e-05,0.7490032657993798,0.9485869684244824,0.9494594399949888,6.233744394909595e-05,3.619394192355685e-05,0.7256492839878967,0.6555555555555556,0.0711074869908231,0.0563175766057764,1.2324368659564708,,,0,0.5687010288238525,-1.7188984155654907,2.2112808227539062,0.6054556537640963,0.4958254098892212,322.474654710382
#4,4,time1_region4,7.57794240132176,0.0061402269639074,4.014668596588348,4.014668596588348,2.3593207515659745e-05,1.4310846328735352,0.5397243681725885,70.10938828450433,70.10932912308284,72.1240783741836,154.3602961764128,323.4772977788245,-412.491503999874,0.0005838932615951,0.0005734772584808,0.0614484730878938,0.312752817471799,9.2630012659356e-05,0.216792494058609,1.7953461408615112,22,3.922024444875717e-06,-4.174620113833121e-06,7.308606456875995e-07,1622.3640988565942,5.979028371015666,3.339194945185415,0.4775708718163826,24.666666666666668,0.0829699827967128,178466771.9258845,1.564422802228282e-05,1.4929229638597066,3.3558828313223823,0.0136323787258912,0.0005749123239721,0.0075528755613501,0.4337107073215785,0.0004127514247982,-0.0004393344329982,0.0080945208354179,1695817.39424266,0.0016463888612428,0.0136323787258912,0.060503417015826,0.5029112696647644,6.640800798152213e-09,4.0146684646606445,3.0460519790649414,0.6300480961799622,1.0,0.0,0.2318708684654367,0.2757792184363163,0.6334662143112215,0.0181514790150474,0.0726030882374147,0.999999999426884,0.0,3.948635259910629e-06,0.0005751934078062,0.0686583596722446,0.08417291734985,0.0,0.4783477129984486,0.0,253397.2991185783,3.3406513195468444,0.0,0.4332851465927264,0.999999999999,0.0,0.0022630266335764,0.3296526307554278,0.0686583597115252,0.08417291734985,0.0,0.4783477129984486,0.0,442.1395202426085,3.340651319546843,0.0,0.4332851465935209,21,44,0.2095238095238095,1.0,0.5091637151776754,404.523748100342,0.0004074532581798,0.5550312252124919,39,84,0.1133603238866396,1.0,0.1327083339885411,404.2863809561158,0.0002573280142287,1.21551701625267,0.114725879267419,0.0608536859471867,0.2067016666017243,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001309033978031,0.0017448470462113,0.0002093730436172,9.2630012659356e-05,159,0.2181221817141588,0.5692771581162369,0.5699336673838141,0.0002110733087738,9.843037332757376e-05,0.6225002128143997,0.81490084562354,0.8174447065066212,0.0001464534134414,5.2271625463617966e-05,0.3808150766723351,0.3421052631578947,0.1930512125600018,0.1187971364394495,1.1958452521569831,,,0,0.6265124678611755,-1.5180373191833496,1.9301276206970213,0.7041847041847041,0.5999591946601868,322.474654710382
5,5,time2_region0,7.55181081431499,0.0045495522208511,4.415803482856433,4.415803482856433,3.710365513143188e-05,1.4666829109191897,0.3822201184828532,56.36977249001136,56.36968693218712,58.30670655880841,136.77248019724146,275.1382956567383,674.6640115329582,0.0004803176303767,0.0004730249989108,0.0636698774204632,0.3953525159151757,0.0001291054795728,0.1968841254711151,1.7726423740386963,22,2.518266503475532e-06,-5.015603739748554e-07,5.770419105455933e-07,1198.1644783600889,6.490066190203634,3.054303890972781,0.4523096476407834,6.222222222222222,0.0538698882569988,209910458.45090377,1.348340363191735e-05,1.2564269863305364,2.9221585899160174,0.016263980192948,0.0004825945776533,0.0093418112286036,0.5209465446927082,0.000333816072563,-6.648578344867402e-05,0.0101395447019037,1583538.1329189786,0.0017873313966187,0.016263980192948,0.0639717149943235,0.3741306364536285,5.511409995051508e-09,4.415802955627441,2.979538917541504,0.635224461555481,1.0,0.0,0.187420285670591,0.2654106770775517,0.6337523939001105,0.0260231865151612,0.0748137425071764,0.999999999228795,0.0,2.5270917004047067e-06,0.0004842098495248,0.0583099160944758,0.0550679487633837,0.0,0.4552217420514098,0.0,332542.13317545183,2.891910676150528,0.0,0.5170097514901614,0.999999999999,0.0,0.0019489057190001,0.3734250501412871,0.0583099161393864,0.0550679487633837,0.0,0.4552217420514101,0.0,431.1981111193484,2.891910676150528,0.0,0.5170097514917416,21,33,0.1571428571428571,1.0,0.3317634748599616,457.1216953691445,0.0003029780516134,0.6905457480122307,31,70,0.1505376344086021,1.0,0.2675449423350545,336.615511025507,0.0003252955704171,1.1257099771854429,0.0918721374011631,0.0481477888363492,0.1330427964629736,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001589535240782,0.0012966721551492,0.0002187305071856,0.0001291054795728,132,0.5324274422441653,0.8195596395619182,0.8196444144752566,0.0001544014941258,8.490858454024419e-05,0.6894927824686427,0.8353573175989197,0.8384655535835244,0.0001483156109948,8.490858454024419e-05,0.5280126182961667,0.4090909090909091,0.2442387461871665,0.1518439755668527,1.303795945381099,,,0,0.566825807094574,-1.7431105375289917,2.1754021644592285,0.5871448720531937,0.4706018567085266,322.474654710382
6,6,time2_region1,7.588503915639086,0.0044156340882182,3.339338223049144,3.339338223049144,1.3422496749626587e-05,1.3049790859222412,0.7586119381281495,101.01815121477348,101.01779456555346,103.7662621880347,232.93031289874887,456.1277834924619,1739.191989016336,0.0005181033630687,0.0005079203050488,0.086377938270439,0.3928738504940476,8.760418131714687e-05,0.1842361390590667,1.7879647016525269,22,2.0764170137519564e-06,-1.8217369987549048e-06,4.916562684477634e-07,1360.668632950708,6.073741291167099,3.019099615103689,0.427735134999201,54.22222222222222,0.0652113951802662,222230382.5497292,9.216784476211753e-06,1.5732152974828577,3.148765433231841,0.0146983408748114,0.0005258739268664,0.008528107599315,0.544877653947077,0.0003461794367579,-0.000303719284592,0.0136657967292594,1332958.851278875,0.0015366187363583,0.0146983408748114,0.0876734963720024,0.4507476091384887,5.5249413932756405e-09,3.3393380641937256,3.064875602722168,0.6004233360290527,1.0,0.0,0.2061058522754804,0.2758565491985487,0.6196022227056083,0.0166170671683916,0.0879241609274514,0.9999999991394806,0.0,2.0851628977704272e-06,0.0005258739303641,0.0485867145581728,0.0655503907465984,0.0,0.4301532524951327,0.0,415783.8134385459,3.142364060475081,0.0,0.543275759165241,0.999999999999,0.0,0.0017943232909073,0.4525247606996802,0.0485867145999341,0.0655503907465984,0.0,0.4301532524951329,0.0,483.1776891427105,3.1423640604750824,0.0,0.5432757591669963,15,22,0.2095238095238095,1.0,0.3362863549218102,531.7247864439056,0.0004173790184577,0.4332686784027361,37,95,0.1426426426426426,1.0,0.2580900089219346,344.8459328891196,0.0003179908035445,1.468382894628178,0.0491742134845427,0.0252068707643941,0.113495888199963,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001281501317862,0.001162088708952,0.0001879781048046,8.760418131714687e-05,134,0.6127602502123007,0.9450383276041974,0.9450780358095948,6.951707042803194e-05,2.226640935987234e-05,0.7193751567320823,0.952572720236268,0.9531754427963648,6.484056094322679e-05,2.226640935987234e-05,0.6946603844019111,0.6057142857142858,0.4047854639578674,0.2315138475927913,1.1737123695144775,,,0,0.5619016885757446,-1.7548518180847168,2.202733278274536,0.5768180266302493,0.4742394983768463,322.474654710382
7,7,time2_region2,7.507431551515418,0.0041474541649222,5.039660228223508,5.039660228223508,2.8101880616304697e-05,1.4893600940704346,0.2490954802812632,54.847006540944,54.84675751223703,57.04342974839778,167.6542194908953,360.61946149629847,271.1657818447678,0.0003802723344499,0.0003694579694233,0.0445951387872459,0.4291346476545338,0.000167906502611,0.2122403085231781,1.743499755859375,22,2.5364036343829053e-06,-1.3130143387662731e-06,6.671563990785801e-07,1395.8966641891564,6.44605758808942,3.0914035015609262,0.4783666540930259,31.6875,0.0291029406018838,175855348.58352697,1.2745208000814547e-05,0.969910355900936,2.798613031644462,0.0149335496172344,0.0006401222503615,0.0081479979509946,0.5114868775756539,0.0002974484377214,-0.0001539794643316,0.0091751739625,1499554.5021269657,0.0014946525682232,0.0149335496172344,0.0750682427681049,0.578302264213562,4.246946350150438e-09,5.03965950012207,2.936820268630981,0.641977071762085,1.0,0.0,0.1618123778208541,0.2624914400560273,0.6449965708865643,0.0272978144066363,0.0652141746507719,0.999999999275946,0.0,2.543761494123624e-06,0.0006606128053963,0.0414356914023746,0.0293854519876164,0.0,0.4705012879453712,0.0,345409.1274351422,2.7667402384219018,0.0,0.5172258567592736,0.999999999999,0.0,0.0018418205130571,0.4783192995797467,0.0414356914323349,0.0293854519876164,0.0,0.4705012879453713,0.0,477.0488936676821,2.7667402384219018,0.0,0.5172258567606485,28,60,0.1587301587301587,1.0,0.358054127513484,423.672762374648,0.0003232178412406,1.0594465879949486,25,50,0.1666666666666666,1.0,0.2543844237615614,359.4963591999335,0.0003776146012745,0.7365468104388881,0.1020033007830817,0.0537426123160101,0.1384885513553453,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002063303836621,0.0013811127282679,0.0002615298435557,0.000167906502611,139,0.4017965098271939,0.7211643460362613,0.7211316069238961,0.000214121780537,0.0001072222585207,0.6486320870596135,0.7477488788490594,0.7526733577757528,0.000205624440936,0.0001072222585207,0.3472243613706937,0.2825112107623318,0.322824000155251,0.2095636642952751,1.3466989994709222,,,0,0.4946613311767578,-1.975998878479004,2.085662603378296,0.3536444273042807,0.4317357540130615,322.474654710382
8,8,time2_region3,7.521826852127501,0.004131899215281,3.3786199698853534,3.3786199698853534,1.220703393300937e-05,1.1374552249908447,0.7087417433054903,142.1702364466027,142.1677891833344,145.01803086954075,385.42884862992565,923.7841193205888,751.960130616983,0.0005123039502705,0.0005066310984915,0.1058214440631432,0.4057314152123732,8.237551810452715e-05,0.1625669449567794,1.790682315826416,22,2.424587628388872e-06,-1.8495686623197463e-06,4.62312803731395e-07,1554.587606748878,5.113738167462818,2.943700509754481,0.399151643015843,48.22222222222223,0.0644273177618446,211440654.38424227,7.469336223925429e-06,1.5183831821733018,3.0995321460302185,0.0142929512230424,0.0005212423242978,0.0078902937986788,0.562170548594221,0.0005008240656886,-0.0003820478527522,0.0197256141242282,1023625.7223996724,0.0015428699233514,0.0142929512230424,0.1076680819877978,0.4786546528339386,5.3050972503854155e-09,3.378619909286499,3.04093074798584,0.5727260112762451,1.0,0.0,0.2285010300066044,0.2859534582681248,0.6266776825989555,0.0138481494518164,0.0735207096811033,0.9999999990909672,0.0,2.4297314742825294e-06,0.0005214384121597,0.0543415906797935,0.0651871107036669,0.0,0.3972058670792727,0.0,431175.61799185193,3.0932495855682216,0.0,0.5599716197917499,0.999999999999,0.0,0.0022087054649032,0.4740045896997106,0.0543415907291374,0.0651871107036669,0.0,0.3972058670792728,0.0,474.3235287027758,3.0932495855682216,0.0,0.5599716197935923,10,12,0.2666666666666666,1.0,0.1626075685411631,802.4149801332786,0.0002955364256867,0.3119824019488315,39,106,0.1430499325236167,1.0,0.1884153939550004,422.3247892562361,0.0002361557924168,1.552823567265843,0.0675970153926624,0.034980806762932,0.2166693216361258,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001250200293725,0.0011000704253092,0.0001821182086132,8.237551810452715e-05,141,0.6727437434913123,0.9227035373442178,0.9227691461989468,7.925780793183819e-05,4.914921373710968e-05,0.7420208068985962,0.9258159569037744,0.9270676865880124,7.716500144331244e-05,4.914921373710968e-05,0.7452667507700568,0.6271186440677966,0.117907779461431,0.0768946480651543,1.2016720975417512,,,0,0.5655853152275085,-1.7331734895706177,2.2323360443115234,0.5793868394815553,0.4788525998592376,322.474654710382
9,9,time2_region4,7.54468219792105,0.0064879958517849,3.715161596513072,3.715161596513072,2.975190409415518e-05,1.3494032621383667,0.5994566798721898,92.5215212908505,92.5214761805437,94.88098102817972,212.66638025279283,459.4285950865476,-3357.742402427817,0.0005862715383001,0.0005775134749969,0.0687025980873332,0.3094549387347015,9.599053009878844e-05,0.203857809305191,1.7987010478973389,22,4.203667965128665e-06,-2.596493810203198e-06,7.347398899526549e-07,1551.6907603056804,5.616372321484703,3.232716924320976,0.4563720906512427,17.555555555555554,0.0784384765785165,181720928.2092405,1.4597901870870256e-05,1.4762623452232824,3.276906921388003,0.0135954109411459,0.0005754995642525,0.0077555958862673,0.4522979835800219,0.0004926100746764,-0.0003042721353614,0.0100898194637258,1550708.1183088725,0.0017106664013724,0.0135954109411459,0.0674403614284084,0.4546271562576294,7.309953087286658e-09,3.7151618003845215,3.0582735538482666,0.6226496696472168,1.0,0.0,0.2457443894700886,0.2883917201285161,0.6177981096849802,0.0183933724520226,0.0754167977344811,0.9999999993817638,0.0,4.224855624065142e-06,0.0005754996066117,0.0762135535145646,0.0784384765785165,0.0,0.4573448274106159,0.0,271169.5765494787,3.272747781785432,0.0,0.4527149581076153,0.999999999999,0.0,0.0026119589324618,0.3557947233878358,0.0762135535616064,0.0784384765785165,0.0,0.4573448274106158,0.0,438.6180411652193,3.272747781785432,0.0,0.4527149581085468,17,32,0.2352941176470588,1.0,0.5582264172277066,409.47520538814456,0.0004546052230359,0.45466084210434,41,93,0.1134146341463414,1.0,0.1571155651073695,399.8631735661324,0.0002430569467851,1.3478305231034398,0.0987543173961101,0.0519419022484559,0.2172043603734121,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001409812102792,0.0016175045166164,0.0002147970517398,9.599053009878844e-05,151,0.2811629741926197,0.7000043070705974,0.7004678913900664,0.0001771312090177,9.144293653662317e-05,0.7217477949898574,0.7753798230866501,0.7796010083680105,0.0001552751555721,9.144293653662317e-05,0.4364552425306823,0.3669724770642202,0.217314237629052,0.1635110058332997,1.2882796269830803,,,0,0.6153092384338379,-1.5588840246200562,1.9282857179641724,0.6471471471471472,0.4788254797458648,322.474654710382
10,10,id,7.525524035164208,0.003949403297156,3.3343936807352854,3.3343936807352854,1.1937443105125569e-05,1.108124017715454,0.9962182590410208,136.91857902525305,136.91520756283973,139.9036181692343,405.0808562862216,934.6114372875188,1641.4715261107146,0.0005309844303642,0.0005239113975878,0.1207601781989774,0.4074194162345658,8.456818613922223e-05,0.1638314574956894,1.805830478668213,22,1.944821771115244e-06,-1.568044837828078e-06,4.806830756531101e-07,1595.0526427312996,5.391929451753383,2.973777080434777,0.3688982289526662,6.222222222222222,0.0628067363923846,247295967.49170217,7.406412456430395e-06,1.490497640044132,3.1369182090782526,0.0147662141779788,0.0005554444979281,0.007850469247528,0.5507650576665167,0.000442303925875,-0.0003566148785942,0.0248622712518715,1087366.7497666797,0.0016844141434923,0.0147662141779788,0.126322774126015,0.4332545101642608,5.0757686942404234e-09,3.3343939781188965,3.072885274887085,0.5709313154220581,1.0,0.0,0.2117508793666644,0.2875122778662813,0.6130336696579526,0.0156697697020899,0.0796863910454816,0.9999999990930626,0.0,1.947614620678268e-06,0.0005555399614402,0.0502823642271666,0.0632777965614058,0.0,0.3685252724662904,0.0,456685.6150688392,3.130057764367808,0.0,0.5495704429194818,0.999999999999,0.0,0.0017663646147216,0.5038399894585465,0.0502823642727193,0.0632777965614058,0.0,0.3685252724662904,0.0,503.5469877218231,3.130057764367808,0.0,0.5495704429212105,10,13,0.2888888888888888,1.0,0.5143774799873527,483.9841386409532,0.0006505795014876,0.2763148215228624,41,112,0.1365853658536585,1.0,0.19680919226521,428.70321736506327,0.0002104659723794,1.6044710923803338,0.0596070430484017,0.0307190576191565,0.2157214829081104,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001188018359243,0.0011026118882,0.0001741477026371,8.456818613922223e-05,147,1.0,1.0,0.9999708973178686,0.0,0.0,1.0,1.0,0.9999708973178686,0.0,0.0,0.9999999990930626,1.0,0.0,0.0,0.0,,0.0040978917281944,0,0.592947244644165,-1.6338595151901243,2.276522159576416,0.6385961856657668,0.5756564140319824,
